country,Engineering & Technology,Life Sciences & Medicine,Natural Sciences,Arts & Humanities,"Business, Economics & Management",Social Sciences & Law,Teaching & Education,avg_tuition_fees,avg_living_costs,avg_grad_income,min_grad_income,min_part_time_income,roi,career_payback_period,term_time_feasibility,scholarships,max_psw_visa_years,max_startup_visa_years,skilled_worker_visa,min_years_pr,health_index,cultural_diversity,safety_index,visa_approval_rate,political_stability
Australia,"18,500","20,500","17,500","15,500","19,500","16,500","14,500",23275,"11,000","46,800","35,810","18,630",137,0.96,169.36,38,2,5,0.65,2,73.4,0.0929,52.7,86,0.92
Austria,"3,600","4,250","3,000","2,900","4,150","3,000","2,950",4531.5,"12,540","38,400","28,800","14,400",225,0.59,114.83,22,2,3,0.3,10,77.9,0.1068,70.5,80,0.73
Belgium,"2,950","3,600","3,000","2,400","3,550","2,950","2,425",3966.25,"9,180","42,000","28,809","14,500",319,0.46,157.95,21,1,1,0.3,5,75.9,0.5554,50.6,80,0.4
Canada,"20,000","22,000","18,000","15,000","21,000","17,000","14,000",24130,"13,200","60,972","24,128","12,864",163,1.55,97.45,247,3,2,0.75,1,68.7,0.7124,54.3,55,0.82
China,"1,750","2,250","2,000","1,750","2,000","1,750","1,600",2489,"7,200","14,400","2,642","1,372",149,3.67,19.06,35,1,0,0.1,5,68.7,0.1538,76,10,-0.51
Denmark,"4,500","5,000","4,500","3,750","5,000","4,250","3,500",5795,"13,200","67,704","35,000","14,000",356,0.54,106.06,13,3,2,0.45,8,78.4,0.0819,74,85,0.85
Finland,"4,250","4,750","4,000","3,500","4,500","3,750","3,250",5320,"11,400","39,600","30,000","12,000",237,0.56,105.26,13,2,2,0.5,4,77.5,0.1315,73.2,85,0.71
France,"3,000","3,750","3,000","2,500","3,500","3,000","2,750",4085,"11,000","39,000","25,572","12,037",259,0.59,109.43,30,2,4,0.35,5,77.7,0.1032,44.6,85,0.34
Germany,"3,500","4,000","3,500","3,000","4,000","3,500","3,000",4655,"11,400","42,000","31,537","14,700",262,0.51,128.95,56,1.5,3,0.65,2,71.9,0.1682,60.6,95,0.59
Ireland,"13,000","15,000","12,000","10,000","14,000","11,000","10,000",16150,"12,000","55,464","28,203","13,000",197,1.00,108.33,18,2,2,0.6,5,51.5,0.1206,52.4,93,0.9
Italy,"2,000","2,500","2,000","1,750","2,500","2,000","1,900",2783.5,"10,300","26,400","30,000","12,000",202,0.44,116.50,38,1,2,0.2,5,65.1,0.1145,53.1,75,0.58
Japan,"2,750","3,250","2,750","2,250","3,250","2,750","2,400",3686,"12,000","36,000","18,024","9,600",230,0.87,80.00,34,0,1,0.25,10,80,0.0119,77.1,75,0.95
Luxembourg,"3,000","3,500","3,000","2,750","3,500","3,000","2,750",4085,"13,200","79,596","32,103","14,400",460,0.54,109.09,6,1,2,0.3,5,75.2,0.5302,65.8,85,1.05
Malaysia,"1,750","2,000","1,750","1,500","2,000","1,750","1,500",2327.5,"6,000","18,000","4,348","10,715",216,1.92,178.58,12,1,0,0.2,5,70.3,0.588,51.1,75,0.17
Netherlands,"2,500","3,000","2,500","2,000","3,000","2,500","2,250",3372.5,"38,200","54,972","24,925","12,000",132,1.67,31.41,31,1,1,0.7,5,79.3,0.1054,73.1,92.5,0.66
New Zealand,"16,000","18,000","15,000","13,000","17,000","14,000","12,000",19950,"9,600","40,800","34,150","15,000",138,0.87,156.25,13,3,3,0.55,2,68.4,0.3969,51.8,80,1.36
Norway,"4,000","4,500","4,000","3,500","4,500","3,750","3,250",5225,"9,900","67,980","38,000","19,000",449,0.40,191.92,13,1,1,0.4,3,75.6,0.0586,67,85,0.89
Poland,"1,750","2,250","1,750","1,500","2,250","1,750","1,600",2441.5,"4,500","16,800","14,506","6,240",242,0.48,138.67,13,3,1,0.35,5,58,0.1183,71,80,0.56
Portugal,"1,500","2,000","1,500","1,250","2,000","1,500","1,350",2109,"9,000","24,000","11,638","4,560",216,0.95,50.67,12,0.5,2,0.2,5,72.2,0.0468,67.9,75,0.71
Singapore,"15,000","17,000","14,000","12,000","16,000","13,000","11,000",18620,"12,000","48,000","42,000","12,000",157,0.73,100.00,14,1,1,0.65,0,71.8,0.3857,77.4,90,1.42
South Korea,"2,500","3,000","2,500","2,000","3,000","2,500","2,250",3372.5,"26,700","33,600","20,990","10,500",112,1.43,39.33,13,2,2,0.2,5,82.8,0.0392,75.1,70,0.61
Spain,"1,500","2,000","1,500","1,250","2,000","1,500","1,350",2109,"9,600","26,400","17,457","9,600",225,0.67,100.00,29,2,3,0.25,5,77.3,0.4165,63.4,78,0.29
Sweden,"4,000","4,500","4,000","3,500","4,500","3,750","3,250",5225,"9,600","40,800","28,000","11,200",275,0.53,116.67,18,1,2,0.55,5,68.3,0.06,52,85,0.76
Switzerland,"3,500","4,250","3,500","3,000","4,250","3,500","3,000",4750,"15,000","97,332","40,000","19,200",493,0.49,128.00,21,0.5,1,0.3,5,71.5,0.5314,73.5,80,1.07
United Kingdom,"25,000","28,000","23,000","20,000","27,000","22,000","18,000",30970,"16,600","42,000","32,596","12,000",88,1.46,72.29,120,2,2,0.4,5,72.7,0.1211,51.7,96,0.51
United States,"30,000","35,000","28,000","25,000","32,000","27,000","22,000",37810,"15,000","77,460","15,080","7,188",147,3.50,47.92,479,3,5,0.4,5,67.8,0.4901,50.8,64,0.03